"id","name","promoter","sector","plot","rera","reraStatus","unitMix","possession","constructionState","priceEvidence","transactionEvidence","rentalEvidence","stage","currentState","coverage","riskFlags","confidence","lastVerified","sourceIds","legalEntity","possessionRevisions","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt"
"22d-ats-allure","ATS Allure","ATS Realty Pvt Ltd","22D","P-7, TS-02","UPRERAPRJ918","Completed / partly occupied","2/3 BHK; commonly advertised 1,150/1,350 sq ft","RERA completion 2021; possession/delay disputes continued into 2022","Ready and occupied benchmark","Advertised resale about Rs 8,000-9,400/sq ft; typical advertised 2/3 BHK Rs 0.92-1.20 crore","No deed-level sample obtained","Advertised rents roughly Rs 13,500-28,000/month","operational","Usable ready-stock benchmark with historic delivery-delay cases","PARTIAL","[""Historic delay orders"",""Low observed gross rental yield"",""Asking prices are not deeds""]","MEDIUM","2026-08-15","[""src-rera-ats-allure"",""src-housing-ats-allure"",""src-ats-delay-orders""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-ace-terra","ACE Terra","Ajay Realcon India LLP / ACE","22D","P5 & P6, TS-02/A; YEIDA GIS parent TS-2","UPRERAPRJ683816/04/2024","Active","Marketed 3/4 BHK; about 1,166 units reported","RERA completion 2028-12-28","Under construction","Marketing evidence only; official cost sheet and quarterly progress require refresh","No deed-level resale market",,"construction","Major 2028 RERA completion-date cohort; construction evidence is not completion evidence","PARTIAL","[""Price evidence is marketing-led"",""Construction progress requires quarterly RERA verification""]","MEDIUM","2026-08-15","[""src-rera-ace-terra"",""src-ace-terra""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-purvanchal-sunbliss","Purvanchal Sunbliss","Purvanchal Projects Pvt Ltd","22D","GH-1A/1","UPRERAPRJ746863/04/2025","Active","About 646 model units and seven towers inferred; the earlier 1,112 marketing claim is excluded pending official inventory","RERA completion 2030-01-29","Early construction","Advertised about Rs 9,000-11,000/sq ft; configuration and charge treatment differ","No normal resale/deed sample",,"construction","Large 2030 RERA completion-date cohort; completion and occupancy remain unverified","PARTIAL","[""Exact sanctioned inventory unavailable"",""Sold percentage unverified"",""High concentration of similar RERA completion dates""]","MEDIUM","2026-08-15","[""src-rera-sunbliss"",""src-rera-project-register"",""src-listing-sunbliss"",""src-yeida-auction-2024""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-eldeco-echoes","Eldeco Echoes of Eden","Eldeco Sohna Projects Limited","22D","GH01 B/1; YEIDA GIS GH-1B/1","UPRERAPRJ125342/02/2026","Active","About 558 apartments and three towers inferred; sanctioned inventory remains unavailable","RERA completion 2031-01-11","Early construction","Launch/current marketing about Rs 9,000-10,000/sq ft","No deed-level resale market",,"construction","Premium 2031 pipeline; Whispers/Ballads marketing identities are superseded for counting by the current RERA identity","PARTIAL","[""Exact sanctioned configuration unavailable"",""Avoid duplicate counting of earlier marketing names""]","MEDIUM","2026-08-15","[""src-rera-project-register"",""src-yeida-auction-2024""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-gaur-chrysalis","Gaur Chrysalis","Gaursons Promoters Pvt Ltd","22D","GH-12; 47,754.60 sqm official land area","UPRERAPRJ622344/11/2025","Active","About 952 units; seven G+33 towers; 3/4 BHK","Target October 2030","Under construction","Channel asks around Rs 1.7-1.9 crore / roughly Rs 9,000-10,500 per sq ft before charges","No deed-level resale market",,"construction","Large premium 2030 supply","PARTIAL","[""Channel price evidence"",""Airport height/noise verification needed""]","MEDIUM","2026-08-15","[""src-rera-gaur-chrysalis"",""src-yeida-auction-2024""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-arihant-seasons","Arihant Seasons","Arihant Urban Space Private Limited","22D","GH-11; 45,732 sqm official RERA land area","UPRERAPRJ974543/02/2026","Active / new","About 1,028-1,043 units and nine blocks inferred; model aggregation uses the upper bound","Declared January 2031","Early stage","Marketing around Rs 8,000 launch and Rs 9,000 current per sq ft","No deed-level resale market",,"approved","New 2031 pipeline; construction evidence limited","PARTIAL","[""Marketing price only"",""Power filing anticipates outages and DG backup""]","MEDIUM","2026-08-15","[""src-rera-tracker-arihant"",""src-rera-project-register"",""src-listing-arihant"",""src-yeida-auction-2024""]",,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-vvip-yamuna","VVIP Yamuna","VVIP Infrahome Private Limited","22D","GH-01B/2; YEIDA GIS GH-1B/2","UPRERAPRJ677791/02/2026","Active / new","About 484 apartments and five towers inferred; sanctioned schedule remains unavailable","RERA completion 2030-10-30","Early stage","No reliable official price list or deed evidence found","Unavailable",,"approved","Registered 2030 pipeline; official booked/unsold inventory unavailable","PARTIAL","[""Sanctioned schedule unavailable"",""Low-density claims unverified"",""Price unavailable""]","MEDIUM-LOW","2026-08-16","[""src-rera-tracker-vvip"",""src-rera-project-register""]",,,,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-gaur-alaris","Gaur Alaris","Gaursons India Private Limited","22D","GH-13; YEIDA GIS parent parcel","UPRERAPRJ950965/07/2026","Registered / very new","Final schedule not independently extracted","Reported June 2031","New launch","Too new for normal resale or registered-price inference","Unavailable",,"approved","Very early pipeline","LOW","[""Direct certificate refresh required"",""No resale evidence""]","LOW","2026-08-15","[""src-rera-up-main""]",,,,,"LOW","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-greenbay","Orris Greenbay Golf Homes / Golf Village","Greenbay Infrastructure Pvt Ltd; partial sublease to Emerald Properties","22D","Approx. 100-acre township parcel","UPRERAPRJ9320","Mixed phase status","About 626 apartments plus roughly 691 township plots reported","Some homes/plots marketed ready; full handover remains mixed","Partially built / partially occupied","Not used as clean-title benchmark","Some registries reported; deed sample not obtained",,"operational","Material authority-dues exposure and possible lease consequences","PARTIAL","[""YEIDA dues"",""Defaulted installment"",""Lease-cancellation threat"",""Mixed handover""]","HIGH","2026-08-15","[""src-rera-greenbay"",""src-greenbay-dues""]",,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
"22d-supertech-golf-country","Supertech Golf Country","Supertech Township Projects Ltd","22D","TS-05; approx. 99 acres","UPRERAPRJ5848 / UPRERAPRJ5863 and related phases","Lapsed / delayed phases","Plots, villas and apartments across phases","Original 2018-2019 completions lapsed","Stalled / insolvency affected","Lower quotes are not comparable to clean-title projects","Requires insolvency-claim, title and registry verification",,"failed","CIRP admitted in 2024; about 3,000 buyers reported awaiting possession","PARTIAL","[""Insolvency"",""Lapsed completion"",""Title/OC/claim uncertainty""]","HIGH","2026-08-15","[""src-supertech-cirp"",""src-rera-supertech""]",,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17"
