"id","date","title","category","stage","summary","impact","confidence","lastVerified","sourceIds","currentState","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt"
"time-yamuna-open","2012-08-09","Yamuna Expressway opened","Road","operational","The 165-km six-lane corridor became the enduring access spine for YEIDA.","Already embedded in current land and housing values; future widening is separate.","HIGH","2026-08-16","[""src-yeida-yamuna-expressway""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-sportscity-cancel","2020-02-20","Jaypee Sports City master allotment cancelled","Land/legal","failed","YEIDA cancelled the approximately 1,000-hectare master allotment after dues and compliance failures.","Demonstrates that a very large allotment and iconic asset do not guarantee residential conversion.","HIGH","2026-08-16","[""src-cag-yeida"",""src-jaypee-supreme-court""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-yotta-d1","2022-10-31","Yotta D1 inaugurated in Greater Noida","Data centre","operational","A 28.8-MW, 5,000-rack data-centre building entered operation.","Real regional digital infrastructure, distinct from YEIDA's failed original data-centre park.","HIGH","2026-08-16","[""src-yotta-d1""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""greater-noida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-aisats-selected","2023-02-13","AISATS selected for the airport cargo hub","Cargo","tender","The airport selected AISATS to design, build, finance and operate the multimodal cargo hub.","Converted the cargo concept into a named operator commitment.","HIGH","2026-08-16","[""src-aisats-selection""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-avery-operates","2023-03-13","Avery Dennison YEIDA facility became operational","Manufacturing","operational","Production evidence moved this Sector 32 facility beyond allotment and construction.","Actual employment-demand evidence, though local headcount remains undisclosed.","MEDIUM","2026-08-16","[""src-yeida-14-operational""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-surya-operates","2023-08-28","Surya Global Flexi Films began production","Manufacturing","operational","The Sector 29 flexible-packaging unit entered production.","Verified industrial conversion rather than a job promise.","MEDIUM","2026-08-16","[""src-yeida-14-operational""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-vivo-operates","2024-10-21","Vivo started production in YEIDA","Electronics","operational","The large Sector 24A smartphone plant moved into production.","One of the corridor's strongest existing employment anchors; Dixon JV changes must not double count it.","HIGH","2026-08-16","[""src-vivo-start"",""src-vivo-dixon""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-film-concession","2024-06-27","Film City concession signed","Film City","approval","The third tender finally produced a signed concession after two failed rounds.","A real contractual milestone, but not construction or employment.","HIGH","2026-08-16","[""src-filmcity-concession"",""src-filmcity-failed-tenders""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-22d-auction","2024-07","Purvanchal and Eldeco won Sector 22D housing parcels","Housing","allotted","YEIDA's group-housing auction generated verified land-price evidence.","Supports land-cost modelling but not apartment sales or occupancy.","HIGH","2026-08-16","[""src-yeida-auction-2024"",""src-yeida-auction-moneycontrol""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-film-land","2025-02-27","Film City Phase 1 site handed over","Film City","land_acquired","YEIDA handed the 230-acre Phase 1 site to the concessionaire.","Land conversion advanced, but finance and physical mobilisation remained unresolved.","HIGH","2026-08-16","[""src-filmcity-handover""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-emc-approved","2025-06-25","Electronics Manufacturing Cluster 2.0 approved","Electronics","approval","Government approved the Sector 10 cluster infrastructure programme.","Cluster infrastructure became credible; individual company LoIs still required conversion.","HIGH","2026-08-16","[""src-emc-approval"",""src-emc-development""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-greenbay-notice","2025-07-08","Greenbay cancellation notice issued","Housing/legal","failed","YEIDA moved against the legacy Sector 22D township over dues; court restraint followed.","Legacy 22D inventory requires title, dues and registry checks rather than rate comparison alone.","HIGH","2026-08-16","[""src-greenbay-dues"",""src-greenbay-hc""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-parks-lag","2025-11","Special industrial parks remained weakly converted","Industrial parks","allotted","Authority surveys showed many allotments but few leases, buildings or operating units across apparel, toy, MSME and medical-device parks.","Cluster job totals remain aspirations until facility-level conversion is evidenced.","HIGH","2026-08-16","[""src-investup-vacancy-survey"",""src-park-anchor-outreach""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-39-cancelled","2025-12","Thirty-nine industrial plots cancelled","Industrial land","failed","Allottees failed to execute lease deeds after notice.","Allotment letters alone materially overstate investment conversion.","MEDIUM","2026-08-16","[""src-cancelled-39""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-power-crisis","2025-12","Sector 22D power reliability failure reported","Utilities","failed","Only 13 of 21 transformers reportedly functioned for roughly 300 resident families.","Direct liveability and rental-demand discount despite premium project launches.","MEDIUM-HIGH","2026-08-16","[""src-22d-power-crisis""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-airport-licence","2026-03-06","Noida Airport received DGCA aerodrome licence","Airport","approval","The airport crossed its final major aviation-regulatory gate.","Removed a major binary execution risk shortly before opening.","HIGH","2026-08-16","[""src-airport-license"",""src-pib-airport-license""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
