"id","name","mode","milestone","stage","housingRelevance","evidenceDate","currentState","confidence","lastVerified","sourceIds","purpose","officialApprovals","funding","failedAttempts","dependencies","realisticWindow","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt"
"infra-nia-phase1","Noida International Airport Phase 1","Airport","Commercial operations began 2026-06-15","operational","HIGH - usable regional access and employment anchor","2026-06-15","One runway, one terminal, 12 MPPA design; international service remains a later ramp","HIGH","2026-08-15","[""src-nia-operations""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-nia-later-phases","Noida International Airport later phases","Airport","Approved master-plan and concession framework","approval","LOW now - demand-triggered long-horizon optionality","2026-08-15 assessment of concession/master-plan framework","Expansion beyond 70 MPPA is permitted but not committed to fixed opening dates","HIGH","2026-08-16","[""src-nia-concession""]",,,,,,,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-aisats-cargo","AISATS multimodal cargo hub","Cargo and logistics","Initial air-cargo facility operational","operational","MEDIUM-HIGH - credible logistics demand, but local headcount unavailable","2026-06-15","200,000 tonnes/year initial capacity; rail integration is not yet an operating airport siding","HIGH","2026-08-15","[""src-nia-cargo"",""src-nia-operations""]",,,,,,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-akasa-mro","Akasa Air airport MRO","Aviation MRO","Strategic agreement announced; no EPC or construction milestone","planning","LOW now - possible 2028+ specialised employment","2026-03-13","Design, land, finance and regulatory steps remain","HIGH","2026-08-15","[""src-akasa-mro""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-yamuna-expressway","Yamuna Expressway","Road","Operational since 2012-08-09","operational","HIGH - direct current benefit to Sector 22D","2012-08-09","165-km six-lane BOT corridor; eventual widening is not yet operational","HIGH","2026-08-15","[""src-yeida-yamuna-expressway""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-noida-greater-noida-expressway","Noida-Greater Noida Expressway","Road","Operational","operational","HIGH-MEDIUM - current Noida connection with peak-hour congestion","2026-08-15","Connects onward to Yamuna Expressway","HIGH","2026-08-15","[""src-noida-onemap""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-dme-jewar-spur","Delhi-Mumbai Expressway-Jewar airport spur","Road","Construction under revised Rs 3,630.77-crore approval","construction","MEDIUM - funded execution, but not yet open","2026-03-10","31.42 km, including about 11 km elevated; 2027 operation more plausible than current-use claims","HIGH","2026-08-15","[""src-pib-dme-jewar""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-epe-yamuna-interchange","EPE-Yamuna interchange and links","Road","Reported around 75% complete","construction","MEDIUM-HIGH once opened","2026-08","Civil and safety work remained at cut-off","MEDIUM","2026-08-15","[""src-epe-yamuna-link""]",,,,,,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-edfc-khurja-dadri","EDFC Khurja-Dadri","Freight rail","46-km section commissioned December 2022","operational","MEDIUM - regional logistics benefit, geographically indirect for 22D","2022-12","Dadri connected to Eastern DFC network","HIGH","2026-08-15","[""src-dfccil-milestones""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-dfc-connection","WDFC-EDFC New Rewari-New Khurja connection","Freight rail","Dedicated January 2024","operational","MEDIUM - bankable logistics backbone, indirect residential effect","2024-01","173-km double-line electrified link operational","HIGH","2026-08-15","[""src-dfccil-milestones""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
