"id","plot","sector","use","allottee","legalEntity","parentBrand","area","stage","currentState","eventHistory","sourceStrength","confidence","crossVerified","lastVerified","sourceIds","allotmentDate","leaseDate","possessionDate","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","mdpLedger","schemeInstrument","allotmentLetter","premiumConsideration","leaseDeed","possession","buildingPlanApproval","construction","commissioningOperation","productMade","capexClaim","jobsClaim","recordType","aggregate","aggregateReason"
"plot-nia-concession","Jewar airport concession site",,"Airport","Yamuna International Airport Pvt Ltd","Yamuna International Airport Pvt Ltd","Zurich Airport International AG","Reported Phase 1 land about 1,334 ha","operational","Domestic commercial operations since 2026-06-15","[""Concession commenced 2021-10-01"",""Construction and approvals"",""Inauguration 2026-03-28"",""Commercial operations 2026-06-15""]","HIGH","HIGH","false","2026-08-15","[""src-nia-operations"",""src-nia-concession""]",,,,,,"HIGH","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-filmcity-phase1","Film City Phase 1","21","Film/media and commercial","Bayview Bhutani Film City Pvt Ltd","Bayview Bhutani Film City Pvt Ltd","Bayview / Bhutani consortium","230 acres","possessed","Site handed over; financial closure pending; substantive construction not evidenced","[""Two failed tenders"",""Selected bidder 2024-01"",""Concession 2024-06"",""Site handover 2025-02"",""Financial closure pending 2026-08""]","HIGH","MEDIUM","false","2026-08-15","[""src-filmcity-spv"",""src-filmcity-handover"",""src-filmcity-finance-pending""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-vivo-24a","Vivo manufacturing site","24A","Mobile/electronics manufacturing","Vivo Mobile India Pvt Ltd","Vivo Mobile India Pvt Ltd","Vivo","Reported 169 acres","operational","Production commenced in 2024; Dixon-Vivo operating transition planned","[""Allotment/possession"",""Partial OC"",""Production from 2024"",""JV transition approved 2026""]","MEDIUM-HIGH","MEDIUM","false","2026-08-15","[""src-vivo-start"",""src-vivo-dixon""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-patanjali-24a","Patanjali group industrial campus","24A","Food and herbal processing","Patanjali group entities","Exact landholding SPV unresolved","Patanjali","Reported 430 acres","operational","Biscuit/food operations reported; dairy status not reverified","[""Lease deeds reported 2022"",""Development extension 2024"",""Food operations reported 2025""]","MEDIUM","MEDIUM","false","2026-08-15","[""src-patanjali-sublease"",""src-yeida-14-operational""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-surya-29","Surya Global Flexi Films facility","29","Flexible packaging","Surya Global Flexi Films Pvt Ltd","Surya Global Flexi Films Pvt Ltd",,,"operational","Operational since 2023-08-28","[""Allotment"",""Plant construction"",""Operation""]","MEDIUM","MEDIUM","false","2026-08-15","[""src-yeida-14-operational""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-avery-32","Avery Dennison facility","32","Adhesive and label materials","Avery Dennison India Pvt Ltd","Avery Dennison India Pvt Ltd","Avery Dennison",,"operational","Operational since 2023-03-13","[""Allotment"",""Construction"",""Operation""]","MEDIUM","MEDIUM","false","2026-08-15","[""src-yeida-14-operational""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-bikanerwala","Bikanerwala food-processing facility",,"Food processing","Bikanerwala Foods Pvt Ltd","Bikanerwala Foods Pvt Ltd","Bikanervala",,"operational","Operational since 2024-10-19","[""Allotment"",""Construction"",""Operation""]","MEDIUM","MEDIUM","false","2026-08-15","[""src-yeida-14-operational""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-mtandt-32","Mtandt fabrication facility","32","Fabrication, scaffolding and moulding","Mtandt Ltd","Mtandt Ltd",,,"operational","Operational since 2024-09-17","[""Allotment"",""Construction"",""Operation""]","MEDIUM","MEDIUM","false","2026-08-15","[""src-yeida-14-operational""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-historical-rgi-32-54","54","32","Industrial","R.G.I. Medifleso (spelling in official PDF)","Current legal entity unresolved",,"12,000 sqm","allotted","Official 2015 status; 2026 lease/operation not reconciled","[""Allotted/status list 2015""]","HIGH historical","LOW current","false","2015 status / reviewed 2026-08-15","[""src-yeida-status-2015""]",,,,,,"LOW","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-historical-ramsons-32-54a","54A","32","Industrial","Ramsons Medicons","Current legal entity/status unresolved",,"7,000 sqm","allotted","Official 2015 status; 2026 lease/operation not reconciled","[""Allotted/status list 2015""]","HIGH historical","LOW current","false","2015 status / reviewed 2026-08-15","[""src-yeida-status-2015""]",,,,,,"LOW","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-historical-tr-sawhney-32","6, 7, 8, 9/1","32","Industrial","T.R. Sawhney Motor Pvt Ltd","T.R. Sawhney Motor Pvt Ltd","T.R. Sawhney","6,000 sqm","allotted","Official 2015 status; 2026 lease/operation not reconciled","[""Allotted/status list 2015""]","HIGH historical","LOW current","false","2015 status / reviewed 2026-08-15","[""src-yeida-status-2015""]",,,,,,"LOW","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-mdp-krish-biomedicals","49","28","Blood-bank, laboratory and cold-chain equipment","Krish Biomedicals","Exact leaseholding entity unresolved. Candidate 1: Krish Biomedicals Private Limited (CIN U33110DL2014PTC271717), reported struck off. Candidate 2: the separate active Krish Biomedicals Industry Private Limited (CIN U18204UP2012PTC053095). Do not select either without the allotment/lease deed.","Independent; no parent identified","1,000 sqm","operational","Operational; corporate-name/CIN mismatch remains unresolved because the land instrument is not public","[""2023 allotment reported"",""Construction completed"",""Inaugurated 2025-09-22"",""Operating""]","HIGH/MEDIUM","HIGH facility / LOW exact leaseholding entity","false","2026-08-16","[""src-digital-health-krish"",""src-krish-inauguration"",""src-krish-company"",""src-corp-krish""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","YEIDA Medical Device Park allotment, reported as allotted in 2023","Not publicly located","Not publicly located","Not publicly located","Not publicly dated","Not publicly dated","Completed before inauguration","Inaugurated and operational on 2025-09-22; first operating unit reported in the park","Centrifuges, ultra-deep freezers, blood-bank refrigerators, plasma thawing baths, platelet agitators and related cold-chain equipment","Rs 6 crore reported for the facility","No project-specific direct or indirect jobs number published; do not convert production capacity into jobs",,,
