"id","title","publisher","url","date","accessed","type","strength","crossVerified","usedFor","notes","publishedAt","publishedDateLabel","accessedAt","sourceClass","usageCount","retentionStatus"
"src-yeida-onemap-current","YEIDA ONE official GIS portal","Yamuna Expressway Industrial Development Authority","https://onemap.yamunaexpresswayauthority.com/yeida/citizen","Discovered 2026-08-16","2026-08-16","Official GIS portal","HIGH","true","Current official YEIDA GIS portal, privacy-safe planning polygons and RERA project-parcel crosswalk","Data is exported through the public citizen browser context. Personal contacts, addresses, proprietorship names and unclassified allottee names are excluded.",,"Discovered 2026-08-16","2026-08-16","OFFICIAL","28","REFERENCED"
"src-gnida-onemap","OneMap Greater Noida","Greater Noida Industrial Development Authority / NIC","https://onemapup.nic.in/gnida/Map.aspx","Live service","2026-08-15","Official GIS","HIGH","true","Plot geometry, land use, allotment status, sectors, utilities and transport layers","Current public Plot layer count observed: 73,115. Natural-person cadastral owner names are excluded.",,"Live service","2026-08-15","OFFICIAL","0","CONTEXT_ONLY"
"src-gnida-mapconfig","GNIDA OneMap configuration and ArcGIS layer catalogue","NIC","https://onemapup.nic.in/gnida/config/mapConfig.js","Updated through 2026-08-14","2026-08-15","Official GIS configuration","HIGH","true","Official layer identities and live ArcGIS service discovery","The configuration identifies Plot, KHASRA, sector, road, railway, metro and utility layers.",,"Updated through 2026-08-14","2026-08-15","OFFICIAL","0","CONTEXT_ONLY"
"src-local-onemap-snapshot","GNIDA OneMap warehouse snapshot","Local evidence warehouse derived from official OneMap","https://onemapup.nic.in/gnida/Map.aspx","2026-06-18","2026-08-15","Derived official-data snapshot","HIGH","true","Aggregate plot counts and non-individual land-use context","Snapshot contains 73,120 GNIDA plots; live service now returns 73,115, so five records differ and require reconciliation.","2026-06-18","2026-06-18","2026-08-15","OFFICIAL","0","CONTEXT_ONLY"
"src-noida-onemap","OneMap Noida","New Okhla Industrial Development Authority / NIC","https://onemapup.nic.in/NOIDA/Map.aspx","Live service","2026-08-15","Official GIS","HIGH","true","Plot geometry, land use, allotment status, sectors, villages and utility layers","Current public Plot layer and the 2026-06-18 snapshot both contain 67,442 records.",,"Live service","2026-08-15","OFFICIAL","1","REFERENCED"
"src-noida-mapconfig","Noida OneMap configuration and ArcGIS layer catalogue","NIC","https://onemapup.nic.in/NOIDA/config/mapConfig.js","Updated through 2026-08-14","2026-08-15","Official GIS configuration","HIGH","true","Official Plot, KHASRA, sector, village, utility, work-contract and Gati Shakti service discovery","Applicant, tenant, project and milestone fields exist in schema but public records inspected contain blank placeholders.",,"Updated through 2026-08-14","2026-08-15","OFFICIAL","0","CONTEXT_ONLY"
"src-local-noida-snapshot","Noida OneMap warehouse snapshot","Local evidence warehouse derived from official OneMap","https://onemapup.nic.in/NOIDA/Map.aspx","2026-06-18","2026-08-15","Derived official-data snapshot","HIGH","true","Aggregate Noida plot counts and non-individual land-use context","Snapshot contains 67,442 Noida plots and matches the live Plot-layer count.","2026-06-18","2026-06-18","2026-08-15","OFFICIAL","0","CONTEXT_ONLY"
"src-rera-up-main","UP RERA project registry","Uttar Pradesh Real Estate Regulatory Authority","https://www.up-rera.in/","Live registry","2026-08-15","Regulatory registry","HIGH","false","Project registration and promoter verification","Project-specific certificates remain preferable to search-result summaries.",,"Live registry","2026-08-15","OFFICIAL","1","REFERENCED"
"src-rera-ats-allure","ATS Allure project details","UP RERA","https://www.up-rera.in/Frm_View_Project_Details.aspx?id=918","Registry record","2026-08-15","Regulatory project record","HIGH","true","ATS Allure promoter, registration and completion",,,"Registry record","2026-08-15","REGULATORY","4","REFERENCED"
"src-housing-ats-allure","ATS Allure sale and rental listings","Housing.com","https://housing.com/in/buy/projects/page/30152-ats-allure-by-ats-infrastructure-limited-in-yeida","Live listings","2026-08-15","Property portal","MEDIUM","true","Asking-price and rent ranges","Listings are not registered transactions.",,"Live listings","2026-08-15","MARKET","4","REFERENCED"
