"id","company","legalEntity","instrument","date","stage","whatTheyDo","scaleEvidence","corridorIntent","proposedLand","proposedCapex","proposedJobs","conditions","currentState","confidence","lastVerified","sourceIds","expiry","convertedTo","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","counterparty","brand","aggregate","aggregateReason","parentBrand"
"int-dixon-vivo-jv","Dixon-Vivo manufacturing joint venture","Final JV legal entity requires transaction-completion verification","Government-cleared joint-venture and asset-transfer plan","2026-07","approval","Planned electronics-manufacturing joint venture combining Dixon's EMS platform with Vivo's existing Greater Noida production assets.","Transition concerns an existing 169-acre operating Vivo factory; it is not a second factory or second workforce.","Transfer selected production assets into a 51:49 Dixon-Vivo structure to deepen Indian localisation and add IoT manufacturing.","Existing Vivo Sector 24A site; no new land evidenced","No separate verified greenfield capex","No separate incremental local-job count","Track legal completion and asset transfer; do not duplicate the existing facility or jobs","Approved transition plan, not a new operating plant","MEDIUM-HIGH","2026-08-16","[""src-vivo-dixon""]",,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-motherson","Samvardhana Motherson International Ltd","Samvardhana Motherson International Ltd","YEIDA LOI","2026","loi",,,,"50 acres, Sector 8D","Rs 1,156 crore","8,000 direct jobs claimed","Lease, possession and build milestones not evidenced","High-potential LOI; not committed employment","MEDIUM","2026-08-15","[""src-eight-lois""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-balar-marketing","Balar Marketing Pvt Ltd","Balar Marketing Pvt Ltd","YEIDA LoI","2026-07","loi","Manufactures wires, cables, switches and smart-electrical products under associated Fybros/Kundan Cab brands.","Unlisted electrical-products company; Tofler's public profile shows FY25 revenue above Rs 500 crore. Fybros/Kundan Cab brand association is shown separately and not treated as legal ownership proof.","Create an integrated smart-electrical manufacturing, R&D and export unit.","8 acres","Rs 300 crore","1,500 direct jobs claimed","LoI only; no lease or groundworks found. Proposed employment density requires diligence.","Pre-lease LoI","HIGH project / MEDIUM scale","2026-08-16","[""src-eight-lois"",""src-balar-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-triveni-almirah","Triveni Almirah Private Limited","Triveni Almirah Private Limited","YEIDA LoI","2026-07","loi","Manufactures steel almirahs and other steel furniture.","Unlisted steel-furniture manufacturer; Tofler's public profile shows FY24 operating revenue in the Rs 100-500 crore range.","Build a dedicated steel-furniture manufacturing factory.","10 acres","Rs 375 crore","458 direct jobs claimed","No conversion beyond LoI","Pre-lease LoI","HIGH project / MEDIUM scale","2026-08-16","[""src-eight-lois"",""src-triveni-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-anondita-healthcare","Anondita Healthcare (legal allottee unresolved)","Press report uses a legacy or business name. Actual LoI required","YEIDA LoI","2026-07","loi","The likely successor, Anondita Medicare Ltd, manufactures condoms and medical/surgical gloves; attribution is not proven by the LoI report.","Likely successor is NSE-SME listed and reports 562 million condoms/year plus 60 million surgical gloves/year capacity.","Proposed healthcare-glove manufacturing plant.","8 acres","Rs 500 crore","750 direct jobs claimed","Obtain the actual LoI before assigning the project to Anondita Medicare Ltd","LoI with material legal-name uncertainty","MEDIUM","2026-08-16","[""src-eight-lois"",""src-anondita-rhp""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-crispy-city-foods","Crispy City Foods Private Limited","Crispy City Foods Private Limited","YEIDA LoI","2026-07","loi","Food manufacture and processing; registry sources associate it with the Big Snacks business.","Young unlisted company incorporated in 2021; reproducible public revenue and employee figures were not found.","Build a food-processing and packaging unit.","4 acres","Rs 122 crore","4,000 direct jobs claimed","No conversion beyond LoI; proposed 1,000 jobs/acre requires strong verification","Pre-lease LoI","MEDIUM","2026-08-16","[""src-eight-lois"",""src-crispy-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-innovex-products","Innovex Products LLP","Innovex Products LLP","YEIDA LoI","2026-07","loi","Registry and proposal identify food processing; operating footprint is not publicly established.","Young LLP incorporated March 2024; no verified revenue or operating plant.","Build a food-processing and packaging unit.","3 acres","Rs 140 crore","2,000 direct jobs claimed","LoI only; financing and high jobs/acre require diligence","Pre-lease LoI","MEDIUM","2026-08-16","[""src-eight-lois"",""src-innovex-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-ag-organica","A.G. Organica Private Limited","A.G. Organica Private Limited","YEIDA LoI","2026-07","loi","Private-label cosmetics, essential oils, perfumes and personal-care products.","Unlisted; Tofler's public profile shows FY25 revenue in the Rs 150-200 crore range. Company claims a 200,000-sq-ft facility and exports to 162+ countries.","Build perfume, cosmetics and personal-care manufacturing capacity.","3 acres","Rs 259.90 crore","1,118 direct jobs claimed","No lease or construction evidence","Pre-lease LoI","HIGH entity / MEDIUM scale","2026-08-16","[""src-eight-lois"",""src-ag-organica-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-apaar-infratech","Apaar Infratech Private Limited","Apaar Infratech Private Limited","YEIDA LoI","2026-07","loi","Public profile centres on construction chemicals, waterproofing and architectural products.","Active unlisted company; no verified electronics manufacturing track record.","Proposes a PCB/electronic-components unit, a material capability pivot from its known business.","2.5 acres","Rs 29.30 crore","300 direct jobs claimed","Verify technology partner, approvals and funding before treating the electronics intent as executable","Pre-lease LoI","MEDIUM","2026-08-16","[""src-eight-lois"",""src-apaar-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-havells-emc","Havells India Ltd","Havells India Ltd","Reported anchor LOI",,"loi",,,,"Reported 50 acres, Sector 10 EMC","About Rs 800 crore Phase 1 reported",,"Reports conflate LOI, allotment and possession","Retained as LOI until lease/site evidence","LOW","2026-08-15","[""src-eight-lois""]",,,,,"LOW","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
