"recordKey","reraNumber","projectName","promoterLegalEntity","projectType","sector","reraStatus","completionDate","reraParcelIdentifier","gisObjectId","gisUniquePlotId","gisPlotIdentifier","gisRecordedArea","matchMethod","matchScope","confidence","ambiguity","mapPublish","sourceIds","officialLandAreaSqm","promoterRegistryLabel","promoterLegalEntityStatus"
"UPRERAPRJ746863/04/2025|PURVANCHAL SUNBLISS","UPRERAPRJ746863/04/2025","Purvanchal Sunbliss","Purvanchal Projects Private Limited","Residential","22D","New","2030-01-29","GH-1A/1","6260","PLNGRESIDENTIAL6260","GH-1A/1","10 ACRE","exact_identifier","full-parcel","HIGH","Exact RERA/GIS identifier. YEIDA GIS incorrectly labels the parcel vacant, so GIS status is not used as project status.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ921261/05/2025|ELDECO BALLADS OF BLISS","UPRERAPRJ921261/05/2025","Eldeco Ballads of Bliss","Eldeco Goodliving Properties Limited","Residential","22D","New","2030-04-03","GH-1A/2","6261","PLNGRESIDENTIAL6261","GH-1A/2","5 ACRE","exact_identifier","parent-parcel","HIGH","Exact parent parcel; the project footprint inside the parcel is not separately represented.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ752382/09/2025|ELDECO WHISPERS OF WONDER","UPRERAPRJ752382/09/2025","Eldeco Whispers of Wonder","Eldeco Sohna Projects Limited","Residential","22D","New","2030-07-17","GH-01C/1","6256","PLNGRESIDENTIAL6256","GH-1C/1","5 ACRE","normalized_identifier","full-parcel","HIGH","Leading-zero normalization only.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ125342/02/2026|ELDECO ECHOES OF EDEN","UPRERAPRJ125342/02/2026","Eldeco Echoes of Eden","Eldeco Sohna Projects Limited","Residential","22D","New","2031-01-11","GH01 B/1","6258","PLNGRESIDENTIAL6258","GH-1B/1","5 ACRE","normalized_identifier","full-parcel","HIGH","Spacing, hyphen and leading-zero normalization only.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]","20235",,
"UPRERAPRJ677791/02/2026|VVIP YAMUNA","UPRERAPRJ677791/02/2026","VVIP Yamuna","VVIP Infrahome Private Limited","Residential","22D","New","2030-10-30","GH-01B/2","6259","PLNGRESIDENTIAL6259","GH-1B/2","5 ACRE","normalized_identifier","full-parcel","HIGH","Leading-zero normalization only.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ974543/02/2026|ARIHANT SEASONS","UPRERAPRJ974543/02/2026","Arihant Seasons","Arihant Urban Space Private Limited","Residential","22D","New","2031-01-05","GH-11","6291","PLNGRESIDENTIAL6291","GH-11","11.3 ACRE","exact_identifier","full-parcel","HIGH","Exact identifier; the official tripartite sublease corroborates parcel and lease references.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]","45732",,
"UPRERAPRJ622344/11/2025|GAUR CHRYSALIS PHASE 1","UPRERAPRJ622344/11/2025","Gaur Chrysalis Phase 1","Gaursons Promoters Private Limited","Residential","22D","New","2030-10-05","GH-12","6292","PLNGRESIDENTIAL6292","GH-12","11.8 ACRE","exact_identifier","parent-parcel","HIGH","Exact parent parcel; the Phase-1 boundary is not separately represented.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]","47754.6",,
"UPRERAPRJ950965/07/2026|GAUR ALARIS PHASE 1","UPRERAPRJ950965/07/2026","Gaur Alaris Phase 1","Gaursons India Private Limited","Residential","22D","New","2031-06-09","GH-13","6293","PLNGRESIDENTIAL6293","GH-13","11.8 ACRE","exact_identifier","parent-parcel","HIGH","Exact parent parcel; the Phase-1 development footprint requires sanctioned-plan extraction.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ467686/09/2025|ACE EDIT","UPRERAPRJ467686/09/2025","ACE Edit","Logix Buildestate Private Limited","Commercial","22D","New","2029-04-30","TS-1B","4858","PLNGRESIDENTIAL4858","TS-1B","68 ACRE","exact_identifier","parent-parcel","HIGH","Exact parent township parcel; the commercial C-1 subdivision is absent from the residential GIS layer.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ442226/10/2024|ACE ESTATE","UPRERAPRJ442226/10/2024","ACE Estate","Logix Buildestate Private Limited","Residential","22D","New","2025-12-31","TS-01B","4858","PLNGRESIDENTIAL4858","TS-1B","68 ACRE","normalized_identifier","parent-parcel","HIGH","Leading-zero normalization; TS-1B is shared by multiple registrations.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ585804/01/2025|OASIS GRANDSTAND PHASE 2","UPRERAPRJ585804/01/2025","Oasis Grandstand Phase 2","Oasis Realtech Private Limited","Residential","22D","New","2029-01-23","GH-01/TS01/B","4858","PLNGRESIDENTIAL4858","TS-1B","68 ACRE","normalized_identifier","parent-parcel","MEDIUM","Only the TS-1B parent exists in GIS; the GH-01/project-phase footprint is absent.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ6908|OASIS GRANDSTAND PHASE 1","UPRERAPRJ6908","Oasis Grandstand Phase 1","Oasis Realtech Private Limited","Residential","22D","Ongoing","2023-03-30",,"4858","PLNGRESIDENTIAL4858","TS-1B","68 ACRE","project_family_parent","parent-parcel","LOW-MEDIUM","Current official page has no parcel; association depends on the Phase-2 project-family evidence.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ683816/04/2024|ACE TERRA","UPRERAPRJ683816/04/2024","ACE Terra","Ajay Realcon India LLP","Residential","22D","New","2028-12-28","P5 & P6, TS-02/A","4855","PLNGRESIDENTIAL4855","TS-2","819105 SQMT","normalized_identifier","parent-parcel","MEDIUM","Only parent TS-2 exists in GIS; P5/P6 and TS-02/A boundaries are absent.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ918|ATS ALLURE","UPRERAPRJ918","ATS Allure","ATS Realty Private Limited","Residential","22D","Ongoing","2021-03-02","P7, TS-02","4855","PLNGRESIDENTIAL4855","TS-2","819105 SQMT","normalized_identifier","parent-parcel","MEDIUM","Only parent TS-2 is mapped; P7 cannot be isolated.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ556048/03/2025|PROVINCE D OLYMPIA","UPRERAPRJ556048/03/2025","Province D Olympia","ATS Realty Private Limited","Residential","22D","New","2028-03-31","TS-02A","4855","PLNGRESIDENTIAL4855","TS-2","819105 SQMT","normalized_identifier","parent-parcel","MEDIUM","Likely TS-2 subdivision; GIS has no A-subdivision boundary.","true","[""src-rera-project-register"",""src-yeida-onemap-current""]",,,
"UPRERAPRJ5848|SUPERTECH GOLF COUNTRY PHASE I","UPRERAPRJ5848","Supertech Golf Country Phase I","Supertech Township Project Limited","Residential","22D","Ongoing","2019-06-29",,"5308","PLNGRESIDENTIAL5308","TS-5","407041 SQMT","spatial_probable","parent-parcel","MEDIUM","Official RERA map coordinate lies inside TS-5; no current address or phase boundary.","true","[""src-rera-project-register"",""src-rera-project-map"",""src-yeida-onemap-current""]",,,
