"name","rera","promoter","product","units","unitLabel","completion","status","evidence","sourceIds"
"ACE Estate","UPRERAPRJ442226/10/2024","Logix Buildestate Pvt Ltd","Plotted","388","plots","2025-12-31","New","INFERRED","[""src-rera-project-register""]"
"ACE Terra","UPRERAPRJ683816/04/2024","Ajay Realcon India LLP","Apartments","1166","apartments","2028-12-28","New","INFERRED","[""src-rera-ace-terra""]"
"Eldeco Ballads of Bliss","UPRERAPRJ921261/05/2025","Eldeco Goodliving Properties Limited","Apartments",,"apartments","2030-04-03","New","REGISTERED; sanctioned unit count not extracted","[""src-rera-project-register""]"
"Eldeco Whispers of Wonder","UPRERAPRJ752382/09/2025","Eldeco Sohna Projects Limited","Apartments",,"apartments","2030-07-17","New","REGISTERED; sanctioned unit count not extracted","[""src-rera-project-register""]"
"YEIDA Affordable Housing 22D","UPRERAPRJ8647","YEIDA","Authority flats","1239","apartments","2019-12-28","Ongoing","VERIFIED scheme stock","[""src-yeida-housing-scheme-1239"",""src-rera-project-register""]"
"Arihant Seasons","UPRERAPRJ974543/02/2026","Arihant Urban Space Pvt Ltd","Apartments","1043","apartments","2031-01-05","New","INFERRED range 1,028-1,043; aggregate uses upper bound","[""src-rera-tracker-arihant"",""src-rera-project-register""]"
"ATS Allure","UPRERAPRJ918","ATS Realty Pvt Ltd","Apartments","1146","apartments","2021-03-02","Ongoing","INFERRED; OC/occupancy unavailable","[""src-rera-ats-allure"",""src-housing-ats-allure""]"
"Eldeco Echoes of Eden","UPRERAPRJ125342/02/2026","Eldeco Sohna Projects Ltd","Apartments","558","apartments","2031-01-11","New","INFERRED","[""src-rera-project-register""]"
"Gaur Chrysalis Phase 1","UPRERAPRJ622344/11/2025","Gaursons Promoters Pvt Ltd","Apartments","952","apartments","2030-10-05","New","INFERRED","[""src-rera-gaur-chrysalis"",""src-rera-project-register""]"
"Gaur Alaris Phase 1","UPRERAPRJ950965/07/2026","Gaursons India Private Limited","Apartments",,"apartments","2031-06-09","New","REGISTERED; sanctioned unit count not extracted","[""src-rera-project-register""]"
"GH06 Sector 22D","UPRERAPRJ8947","YEIDA","1/2-BHK authority flats","256","apartments","2021-06-28","Ongoing","INFERRED","[""src-rera-project-register""]"
"Oasis Grandstand Phase 1","UPRERAPRJ6908","Oasis Realtech Pvt Ltd","Apartments","1091","apartments","2023-03-30","Ongoing","LOW; weakest major count","[""src-rera-project-register""]"
"Oasis Grandstand Phase 2","UPRERAPRJ585804/01/2025","Oasis Realtech Pvt Ltd","Apartments","142","apartments","2029-01-23","New","INFERRED","[""src-rera-project-register""]"
"Purvanchal Sunbliss","UPRERAPRJ746863/04/2025","Purvanchal Projects Pvt Ltd","Apartments","646","apartments","2030-01-29","New","INFERRED; marketing 1,112 excluded","[""src-rera-sunbliss"",""src-rera-project-register""]"
"Province D Olympia","UPRERAPRJ556048/03/2025","ATS Realty Private Limited","Apartments",,"apartments","2028-03-31","New","REGISTERED; sanctioned unit count not extracted","[""src-rera-project-register""]"
"RPS-02 Sector 22D","UPRERAPRJ8756","YEIDA","Plotted residential","828","plots","2021-03-08","Ongoing legacy detail","VERIFIED GIS parcel count; RERA number is duplicated in the current master","[""src-rera-project-register"",""src-yeida-onemap-current""]"
"VVIP Yamuna","UPRERAPRJ677791/02/2026","VVIP Infrahome Pvt Ltd","Apartments","484","apartments","2030-10-30","New","INFERRED","[""src-rera-tracker-vvip"",""src-rera-project-register""]"
