"id","name","legalEntity","parentBrand","facilityName","activity","location","sector","stage","capexClaim","localJobClaim","actualEmploymentEvidence","jobEvidence","jobMix","commissioningTarget","dependencies","currentState","confidence","lastVerified","sourceIds","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","technologyPartner","whatTheyDo","scaleEvidence","corridorIntent","claimGroupId","sharedClaimNote","groupCompany","sponsors"
"co-nia-airport","Noida International Airport","Yamuna International Airport Pvt Ltd","Zurich Airport International AG","Noida International Airport Phase 1","Passenger aviation and airport operations","Jewar, YEIDA",,"operational","Phase-level investment not repeated here",,"Commercial operations began 2026-06-15; local direct headcount not disclosed","Operational anchor; headcount unavailable","White/grey/blue: management, engineering, security, terminal and ramp","Operational","Airline network growth and phased airport expansion","One runway/terminal; 12 million-passenger Phase 1 design","HIGH","2026-08-15","[""src-nia-operations""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-aisats-cargo","AISATS cargo terminal and logistics zone","Air India SATS Airport Services Pvt Ltd","Air India / SATS","NIA integrated cargo terminal","Air cargo, cold chain, freight and ground handling","Noida International Airport, Jewar",,"operational",,,"Cargo facilities operating with airport; local headcount not published","Initial official capacity 200,000 tonnes/year; do not use AISATS global workforce","Mostly grey/blue logistics and equipment operations; specialist white roles","Operational","Cargo airline network, freight demand and logistics-zone occupancy","Initial capacity scalable to 1.5 million tonnes/year","HIGH","2026-08-15","[""src-nia-operations"",""src-nia-cargo""]",,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-vivo-sector24a","Vivo Sector 24A smartphone factory","Vivo Mobile India Pvt Ltd","Vivo","Sector 24A smartphone factory","Smartphone manufacturing","YEIDA Sector 24A","24A","operational","Reported Rs 3,500 crore spent","About 15,000 facility jobs reported; not independently filed","Production began in 2024; workforce figure remains secondary evidence","Operating plant; ownership transition must not be counted as a second facility","Predominantly blue/grey assembly, technicians, quality and logistics","Operational","JV asset transfer and localisation ramp","Land remains with Vivo; a separate Dixon-Vivo JV transition is tracked as its own event","MEDIUM","2026-08-15","[""src-vivo-start"",""src-vivo-dixon""]",,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-haier-greater-noida","Haier Greater Noida plant","Haier Appliances India Pvt Ltd","Haier","Greater Noida appliances campus","Appliance manufacturing, injection moulding and AC expansion","Greater Noida",,"operational","Rs 1,400 crore invested 2019-2023; additional Rs 1,000 crore announced through 2028","About 3,500 existing direct jobs; 3,500 incremental jobs announced","Existing plant and injection-moulding facility operational; expansion underway","Strong immediate and future demand candidate; distinguish existing from incremental jobs","Predominantly blue/grey with engineering and management","Expansion ramp through 2028","AC plant and component-line execution","Operational campus with active expansion","HIGH","2026-08-15","[""src-haier-expansion""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-bhagwati-huaqin","Bhagwati Products Greater Noida facility","Bhagwati Products Ltd","Bhagwati Products","Greater Noida electronics manufacturing facility","Smartphones, tablets, servers, IoT and storage devices","Greater Noida",,"operational",,"Trade sources report ramp from 1,000 to about 10,200 workers during 2024-2025","Production and workforce ramp reported; no public filing validating exact headcount","Operating, but workforce count is medium-confidence","Strongly blue/grey assembly, testing and quality","Operational","Electronics order book and localisation demand","Operational expansion","MEDIUM","2026-08-15","[""src-bhagwati-ramp""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17","Huaqin relationship reported",,,,,,,
"co-samsung-noida","Samsung Noida mobile factory","Samsung India Electronics Pvt Ltd","Samsung Electronics","Sector 81 mobile manufacturing campus","Mobile-device manufacturing","Noida Sector 81","81","operational","Historic expansion announced at Rs 4,915 crore","2,000 incremental direct jobs announced in 2018; not current headcount","Operational since 2018 expansion","Operating anchor; current facility headcount unavailable","Blue/grey manufacturing plus engineers","Operational","Product mix and export/localisation strategy","Mature operating facility","HIGH","2026-08-15","[""src-samsung-noida""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-avery-dennison-yeida","Avery Dennison YEIDA facility","Avery Dennison India Pvt Ltd","Avery Dennison","Sector 32 label-materials facility","Self-adhesive and label materials","YEIDA Sector 32","32","operational","Reported Rs 231 crore",,"Production reported from March 2023","Operational; local jobs undisclosed","Blue/grey manufacturing","Operational",,"Producing","MEDIUM","2026-08-15","[""src-yeida-14-operational""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-surya-flexi-films","Surya Global Flexi Films","Surya Global Flexi Films Pvt Ltd",,"Sector 29 flexible-packaging facility","Flexible packaging film","YEIDA Sector 29","29","operational","Reported Rs 953 crore",,"Listed among producing YEIDA facilities by February 2025","Operational; jobs undisclosed","Blue/grey process manufacturing","Operational",,"Producing","MEDIUM","2026-08-15","[""src-yeida-14-operational""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-bikanerwala-yeida","Bikanerwala Foods YEIDA facility","Bikanerwala Foods Pvt Ltd","Bikanervala","YEIDA food-processing facility","Food and snack processing","YEIDA",,"operational","Reported Rs 160 crore",,"Production reported from October 2024","Operational; jobs undisclosed","Mainly blue/grey production, hygiene and logistics","Operational",,"Producing","MEDIUM","2026-08-15","[""src-yeida-14-operational""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-mtandt-yeida","Mtandt YEIDA facility","Mtandt Ltd",,"Sector 32 fabrication facility","Scaffolding, fabrication and plastic moulding","YEIDA Sector 32","32","operational","Reported Rs 48 crore",,"Production reported from September 2024","Operational; jobs undisclosed","Blue/grey fabrication","Operational",,"Producing","MEDIUM","2026-08-15","[""src-yeida-14-operational""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
