"id","mdpLedger","plot","sector","use","allottee","legalEntity","parentBrand","area","schemeInstrument","allotmentLetter","premiumConsideration","leaseDeed","possession","buildingPlanApproval","construction","commissioningOperation","productMade","capexClaim","jobsClaim","stage","currentState","eventHistory","sourceStrength","confidence","crossVerified","lastVerified","sourceIds","allotmentDate","leaseDate","possessionDate","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","recordType"
"plot-mdp-krish-biomedicals","true","49","28","Blood-bank, laboratory and cold-chain equipment","Krish Biomedicals","Exact leaseholding entity unresolved. Candidate 1: Krish Biomedicals Private Limited (CIN U33110DL2014PTC271717), reported struck off. Candidate 2: the separate active Krish Biomedicals Industry Private Limited (CIN U18204UP2012PTC053095). Do not select either without the allotment/lease deed.","Independent; no parent identified","1,000 sqm","YEIDA Medical Device Park allotment, reported as allotted in 2023","Not publicly located","Not publicly located","Not publicly located","Not publicly dated","Not publicly dated","Completed before inauguration","Inaugurated and operational on 2025-09-22; first operating unit reported in the park","Centrifuges, ultra-deep freezers, blood-bank refrigerators, plasma thawing baths, platelet agitators and related cold-chain equipment","Rs 6 crore reported for the facility","No project-specific direct or indirect jobs number published; do not convert production capacity into jobs","operational","Operational; corporate-name/CIN mismatch remains unresolved because the land instrument is not public","[""2023 allotment reported"",""Construction completed"",""Inaugurated 2025-09-22"",""Operating""]","HIGH/MEDIUM","HIGH facility / LOW exact leaseholding entity","false","2026-08-16","[""src-digital-health-krish"",""src-krish-inauguration"",""src-krish-company"",""src-corp-krish""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-ti-medical","true","Plot number not publicly disclosed","28","Dialysis, anaesthesia and critical-care devices","TI Medical Private Limited","TI Medical Private Limited (CIN U33110TN2005PTC186177; formerly Lotus Surgicals Private Limited)","Tube Investments of India Limited / Murugappa Group (67%) and Premji Invest (33%)","11 acres","Super-mega investment category allotment; land allotment reported 2024-07-05/06","Not publicly located","Not publicly located","Not publicly located","Possession letter/date not evidenced; construction must not be treated as statutory possession proof","Not individually disclosed","Construction publicly confirmed by 2025-09","No commissioning or operation publicly verified by 2026-08-16","Fluid analysers, nebuliser kits, blood tubing, AV fistulas, dialysis machines/dialysers, anaesthesia kits, needles and masks","Rs 215 crore proposed (some later reports round to Rs 211 crore)","No TI Medical-specific direct/indirect employment number located","construction","Under construction; largest disclosed park allotment; commissioning not verified","[""Allotment reported 2024-07"",""Construction underway by 2025-09""]","MEDIUM-HIGH","HIGH allotment/area/construction; MEDIUM corporate details","false","2026-08-16","[""src-toi-ti-medical"",""src-premier-medical"",""src-medical-park-progress"",""src-corp-ti-medical""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-premier-medical","true","Plot number not publicly disclosed","28","Critical care, radiology and oncology devices","Premier Medical Systems & Devices","Premier Medical Systems And Devices Private Ltd (CIN U65910DL1987PTC027888)","Medisys; independent","12,000 sqm (about 3 acres)","Letter of Intent issued by YEIDA","LOI reported on 2025-09-03; final allotment letter not public","Not publicly located","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Not commissioned at last public verification","Existing/new portfolio: ICU ventilators, anaesthesia workstations, syringe and infusion pumps, X-ray, CT, MRI, biopsy and oncology infusion systems","Rs 60 crore proposed","About 450 projected jobs; source does not split direct versus indirect, so treat as an undifferentiated forecast","loi","LOI-stage project; no public lease, possession, building-plan or construction milestone","[""LOI reported 2025-09-03""]","MEDIUM","HIGH LOI/area/capex; LOW downstream conversion","true","2026-08-16","[""src-premier-medical"",""src-corp-premier""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-auxein-medical","true","Plot number not publicly disclosed","28","Orthopaedic implants","Auzein Medical Pvt Ltd (spelling in allottee-event coverage)","Auxein Medical Private Limited (CIN U33110DL2012PTC241539) is the probable registry match","Auxein; independent","4,000 sqm","Phase 1/2 Medical Device Park allotment, named at the April 2023 handover event","Individual letter/date not public","Not publicly located","Not individually verified","Not individually verified; the event mixed Phase-1 possession with Phase-2 letters/checklists","Not publicly verified","Not publicly verified","Not publicly verified","Orthopaedic implants","Rs 18.15 crore proposed","No company-specific jobs number published; the April 2023 Rs 415 crore/5,000 jobs claim covered 26 companies","allotted","Named allottee; plot number and post-allotment conversion unresolved","[""Named among 4,000-sqm allottees in 2023 handover coverage""]","MEDIUM","HIGH published allottee/area/capex; MEDIUM legal-name reconciliation","false","2026-08-16","[""src-medical-device-park"",""src-india-infra-mdp-allottees"",""src-corp-auxein""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-heidelco-medicore","true","Plot number not publicly disclosed","28","Critical-care, defibrillator and oxygen-concentrator equipment","Heidelco Medicore Pvt. Ltd.","Heidelco Medicore Private Limited (CIN U52100UP2013PTC056558)","Heidelco; promoter-linked with Q-Line Biotech","4,000 sqm","Phase 1/2 Medical Device Park allotment; company representative attended the April 2023 handover","Individual letter/date not public","Not publicly located","Not individually verified","Not individually evidenced; the representative's statement was conditional on future possession","Not publicly verified","Not publicly verified","A one-year post-possession target was stated in 2023; no operation evidence located","Automated external defibrillators, oxygen concentrators and other ICU/critical-care equipment","Rs 24 crore proposed","No company-specific direct/indirect jobs number published","allotted","Named allottee; no plot-level construction or commissioning evidence located","[""Named at April 2023 handover"",""Company stated one-year build intention after possession""]","HIGH/MEDIUM","HIGH allottee identity; LOW current physical status","true","2026-08-16","[""src-medical-device-park"",""src-india-infra-mdp-allottees"",""src-toi-mdp-letters"",""src-corp-heidelco""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-qline-biotech","true","Plot number not publicly disclosed","28","In-vitro diagnostics, analysers, reagents and consumables","Q-line Biotech","Q-Line Biotech Limited (CIN U74120UP2010PLC042528)","Independent promoter group; historical POCT Services name","Conflicting public descriptions: 4,000 sqm in April 2023 allottee-event coverage; company later described an approximately 10,000-sqm proposed YEIDA facility","Medical Device Park allotment confirmed by YEIDA-attributed TOI reporting","Not publicly located","Company RHP records Rs 1,667.34 lakh investment in YEIDA property at 2025-12-31 (Rs 1,794.90 lakh at 2025-03-31); exact premium/fees split not disclosed","Not publicly located","Not publicly dated","Not publicly verified","Company website describes the facility as proposed/in process; construction not independently verified","Not operational at last public verification","IVD diagnostic analysers, reagents and consumables","YEIDA property carrying value disclosed; total facility capex not separately disclosed","No YEIDA project-specific direct/indirect jobs number published","allotted","Allotment supported, but area and execution status conflict across public sources","[""Named in April 2023 coverage"",""Rs 1,794.90 lakh YEIDA property investment at 2025-03-31"",""Company still described facility as proposed""]","HIGH/MEDIUM","HIGH legal entity/allottee; MEDIUM area; LOW construction","true","2026-08-16","[""src-india-infra-mdp-allottees"",""src-toi-mdp-named-allottees"",""src-qline-facility"",""src-qline-rhp""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-romsons","true","Plot number not publicly disclosed","28","Anaesthesia needles, kits and disposable medical devices","Romsons (TOI), reported as 'Ramsons Group' in April 2023 coverage","Romsons Group Private Limited (CIN U24236UP1977PTC004511) is the supported match; spelling in the 2023 source is inconsistent","Romsons Group","4,000 sqm if the April 2023 'Ramsons Group' row is the same allottee; deed-level reconciliation unavailable","Medical Device Park allotment confirmed by YEIDA-attributed TOI reporting","Not publicly located","Not publicly located","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Anaesthesia needles/kits and disposable medical devices","Rs 15 crore proposed if the April 2023 'Ramsons' entry is the same entity","No project-specific direct/indirect jobs number published","allotted","Named allottee; historical spelling and area/capex linkage require the actual allotment instrument","[""Named as Romsons by TOI 2025"",""Probable match to 4,000-sqm 'Ramsons Group' row in 2023 coverage""]","MEDIUM","HIGH Romsons allottee; MEDIUM linkage to 2023 Ramsons row","true","2026-08-16","[""src-toi-mdp-named-allottees"",""src-india-infra-mdp-allottees"",""src-corp-romsons""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-genuine-medica","true","Plot number not publicly disclosed","28","Anaesthesia workstations and ventilatory equipment","Genuince Medica Pvt Ltd (spelling in 2023 coverage)","Genuine Medica Private Limited (CIN U74899DL1998PTC092849) is the probable registry match","Genuine Medica; independent","4,000 sqm","Phase 1/2 Medical Device Park allotment, named at the April 2023 handover event","Individual letter/date not public","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Anaesthesia workstations","Rs 18.5 crore proposed","No company-specific direct/indirect jobs number published","allotted","Named allottee; legal spelling matched probabilistically, downstream milestones unresolved","[""Named among 4,000-sqm allottees in 2023 handover coverage""]","MEDIUM","HIGH published allottee/area/capex; MEDIUM legal-name reconciliation","false","2026-08-16","[""src-india-infra-mdp-allottees"",""src-corp-genuine""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-vanguard-diagnostics","true","Plot number not publicly disclosed","28","In-vitro diagnostic products","Vanguard Diagnostics","Probable registry match to the TOI shorthand: Vanguard Diagnostics Private Limited (CIN U33110DL2015PTC276193); leaseholding entity unverified","Independent","Not publicly located","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Clinical and in-vitro diagnostic products","Not publicly located","No project-specific direct/indirect jobs number published","allotted","Named allottee only; parcel and conversion milestones unresolved","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee/legal entity; LOW parcel/status","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-vanguard""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
"plot-mdp-biorad-medisys","true","Plot number not publicly disclosed","28","Orthopaedic, neurovascular and endovascular devices","Bioradmedisys","Probable registry match to the TOI shorthand: Biorad Medisys Private Limited (CIN U33111MH2000PTC265335); leaseholding entity unverified","Biorad Medisys / Indovasive; no larger operating parent identified","Not publicly located","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Orthopaedic, neurovascular and endovascular devices","Not publicly located for YEIDA","No YEIDA project-specific direct/indirect jobs number published","allotted","Named allottee only; no public plot or execution record located","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee/legal entity; LOW parcel/status","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-biorad""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",
